,name,price,img,featuress
0,Hyundai Creta,Rs.10.16 Lakh,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Creta/6775/1584360708758/front-left-side-47.jpg?impolicy=resize&imwidth=480,"Diesel/Petrol16.8 to 21.4 kmplManual/Automatic
View Festival Offers"
1,Hyundai Venue,Rs.6.99 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Diesel/Petrol17.52 to 23.7 kmplManual/Automatic
View Festival Offers"
2,Hyundai i20,Rs.6.91 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Diesel/Petrol19.65 to 25.0 kmplManual/Automatic
View Festival Offers"
3,Hyundai Verna,Rs.9.28 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Diesel/Petrol17.7 to 25.0 kmplManual/Automatic
View Festival Offers"
4,Hyundai Aura,Rs.5.99 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Diesel/Petrol/CNGManual/Automatic
View Festival Offers"
5,Hyundai Alcazar,Rs.16.30 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Diesel/Petrol14.2 to 20.4 kmplManual/Automatic
View Festival Offers"
6,Hyundai Santro,Rs.4.76 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol/CNG20.3 kmpl to 30.48 km/kgManual/Automatic
View Festival Offers"
7,Hyundai Tucson,Rs.22.69 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Diesel/Petrol12.95 to 15.38 kmplAutomatic
View Festival Offers"
8,Hyundai Kona Electric,Rs.23.79 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"ElectricAutomatic
View Festival Offers"
9,Hyundai Elantra,Rs.17.86 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Diesel/Petrol14.59 to 14.62 kmplManual/Automatic
View Festival Offers"
10,Hyundai Grand i10 Nios,Rs.5.28 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Diesel/Petrol/CNGManual/Automatic
View Festival Offers"
11,Hyundai Xcent Prime,Rs.6.40 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol/CNGManual
View Festival Offers"
12,Hyundai i20 N Line,Rs.9.84 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol20.0 to 20.25 kmplManual/Automatic
View Festival Offers"
