,name,price,img
0,Apple iPhone 11 (64GB) - Black,"47,900",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
1,Apple iPhone XR (64GB) - (Product) RED,"33,999",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
2,Apple AirPods Pro,"20,900",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
3,Apple Pencil (1st Generation),"8,250",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
4,Apple iPhone XR (128GB) - White,"38,999",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
5,Apple iPhone XR (64GB) - Coral,"33,999",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
6,Apple iPhone XR (64GB) - Black,"33,999",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
7,Apple EarPods with 3.5mm Headphone Plug,"1,900",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
8,"New Apple Watch SE (GPS, 44mm) - Space Grey Aluminium Case with Black Sport Band","32,900",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
9,"New Apple Watch SE (GPS, 40mm) - Space Grey Aluminium Case with Black Sport Band","29,900",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
10,"2020 Apple iPad Air with A14 Bionic chip (10.9-inch/27.69 cm, Wi-Fi, 64GB) - Sky Blue (4th Generation)","50,900",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
11,Apple iPhone XR (64GB) - White,"33,999",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
12,"New Apple Watch SE (GPS, 40mm) - Silver Aluminium Case with White Sport Band","29,900",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
13,"2020 Apple MacBook Air (13.3-inch/33.78 cm, Apple M1 chip with 8‑core CPU and 7‑core GPU, 8GB RAM, 256GB SSD) - Gold","88,490",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
14,"2020 Apple MacBook Pro (13.3-inch/33.78 cm, Apple M1 chip with 8‑core CPU and 8‑core GPU, 8GB RAM, 256GB SSD) - Space Grey","1,13,290",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
15,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)","1,899",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
16,"2019 Apple iPad mini with A12 Bionic chip (7.9-inch/20.1 cm, Wi‑Fi + Cellular, 64GB) - Silver (5th Generation)","45,900",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
17,Apple Thunderbolt to Gigabit Ethernet Adapter,"2,699",https://m.media-amazon.com/images/I/31DxDApFzXL._AC_UY218_.jpg
