,name,price,img
0,Apple iPhone 11 (64GB) - Black,"47,900",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
1,Apple iPhone XR (64GB) - (Product) RED,"33,999",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
2,Apple AirPods Pro,"20,900",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
3,Apple iPhone XR (64GB) - White,"33,999",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
4,Apple iPhone XR (64GB) - Black,"33,999",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
5,"2020 Apple iPad Air with A14 Bionic chip (10.9-inch/27.69 cm, Wi-Fi, 64GB) - Sky Blue (4th Generation)","50,900",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
6,"New Apple Watch SE (GPS, 44mm) - Space Grey Aluminium Case with Black Sport Band","32,900",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
7,New Apple AirTag,"3,190",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
8,2021 Apple TV 4K (64GB) 2nd Generation,"20,408",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
9,"New Apple Watch SE (GPS, 40mm) - Space Grey Aluminium Case with Black Sport Band","29,900",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
10,"2020 Apple MacBook Air (13.3-inch/33.78 cm, Apple M1 chip with 8‑core CPU and 7‑core GPU, 8GB RAM, 256GB SSD) - Gold","88,490",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
11,"Apple USB-C to Lightning Cable - 1m (for iPhone, iPad, MacBook, AirPods)","1,900",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
12,"New Apple Watch SE (GPS, 40mm) - Silver Aluminium Case with White Sport Band","29,900",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
13,"Apple MagSafe Charger (for iPhone, AirPods Pro, AirPods with Wireless Charging Case)","4,500",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
14,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)","1,899",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
15,New Apple AirPods Pro with MagSafe Charging Case,"24,900",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
16,"Apple Watch Series 7 (GPS + Cellular, 41mm) - Blue Aluminium Case with Abyss Blue Sport Band - Regular","50,900",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
17,Apple Magic Keyboard with Touch ID and Numeric Keypad US English - Silver ((for Mac with Apple Silicon Running macOS 11.4 or Later),"17,500",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
