,name,price,img
0,"Lumia 800 Compatible with Nokia with 8 Mega Pixel Camera, FM Radio (16GB Internal Memory)","6,999",https://m.media-amazon.com/images/I/619cwaYFhWL._AC_UY218_.jpg
1,Nokia 105 Single SIM (Black),"1,249",https://m.media-amazon.com/images/I/31Z2ee9oYQL._AC_UY218_.jpg
2,Nokia 216 (Black),"2,849",https://m.media-amazon.com/images/I/51jUtsdS+BL._AC_UY218_.jpg
3,NOKIA 105 Dual SIM (Black),"1,349",https://m.media-amazon.com/images/I/31epIjp9ToL._AC_UY218_.jpg
4,"Nokia 5310 Dual SIM Feature Phone with MP3 Player, Wireless FM Radio and Rear Camera (White/Red)","3,324",https://m.media-amazon.com/images/I/4192aJrFBiL._AC_UY218_.jpg
5,Nokia 110 Dual SIM (Black),"1,666",https://m.media-amazon.com/images/I/41uLb0h1P1L._AC_UY218_.jpg
6,NOKIA 105 Dual SIM (Dark Blue),"1,420",https://m.media-amazon.com/images/I/413gWhDPK3L._AC_UY218_.jpg
7,Nokia 105 Single SIM (Blue),"1,249",https://m.media-amazon.com/images/I/41euA6Oiq4L._AC_UY218_.jpg
8,Nokia 150 (2020) (Black),"2,499",https://m.media-amazon.com/images/I/41t5OLKTM5L._AC_UY218_.jpg
9,"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","11,499",https://m.media-amazon.com/images/I/71r69Y7BSeL._AC_UY218_.jpg
10,"C2-00 Compatible with Nokia with 1 MP Camera, Stereo FM Radio Bluetooth - (Jet Black)","2,999",https://m.media-amazon.com/images/I/4137A82syJL._AC_UY218_.jpg
11,Nokia 105 Single SIM (Pink),"1,349",https://m.media-amazon.com/images/I/41CTK-5ZTfL._AC_UY218_.jpg
12,"Nokia 5310 Dual SIM Feature Phone with MP3 Player, Wireless FM Radio and Rear Camera (Black/Red)","3,324",https://m.media-amazon.com/images/I/4110ru1t4KL._AC_UY218_.jpg
13,Nokia 110 Dual SIM (Blue),"1,699",https://m.media-amazon.com/images/I/41l8Ih2TENL._AC_UY218_.jpg
14,Nokia 150 (2020) (Cyan),"2,499",https://m.media-amazon.com/images/I/41fMEQ-GoHL._AC_UY218_.jpg
15,"Nokia 225 4G Dual SIM Feature Phone with Long Battery Life, Camera, Multiplayer Games, and Premium Finish – Black Colour","3,699",https://m.media-amazon.com/images/I/61Sn0+xiRiL._AC_UY218_.jpg
16,Nokia 150 (2020) (Red),"2,499",https://m.media-amazon.com/images/I/41dN0RQDN0L._AC_UY218_.jpg
17,"Nokia 110 4G with Volte HD Calls, Up to 32GB External Memory, FM Radio (Wired & Wireless Dual Mode), Games, Torch | Aqua (Nokia 110 DS-4G)","2,799",https://m.media-amazon.com/images/I/61pt8e+GUFL._AC_UY218_.jpg
18,"(Renewed) Nokia 105 2019 (Single SIM, Black)","1,061",https://m.media-amazon.com/images/I/31Z2ee9oYQL._AC_UY218_.jpg
19,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage)","49,999",https://m.media-amazon.com/images/I/81vDZyJQ-4L._AC_UY218_.jpg
20,"C1-01 by HMD-N O K I A with 0.3 Mega Pixel Camera, RDS Stereo FM Radio - (Dark Grey)","2,499",https://m.media-amazon.com/images/I/41W65U71NWL._AC_UY218_.jpg
21,"215 by HMD-N O K I A with 0.3 Mega Pixel Camera, Stereo FM Radio - (Black)","2,199",https://m.media-amazon.com/images/I/51XBr6JHrnL._AC_UY218_.jpg
